epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.71563,1.83601,3.5717,1.8215,0.00271,0.8,0.29555,0.15263,1.48295,4.32234,1.60796,0.00020004,0.00020004,0.00020004
2,12.5777,1.6437,3.03005,1.74195,0.00289,0.85,0.42775,0.22009,1.3683,4.02131,1.5341,0.000412624,0.000412624,0.000412624
3,17.4397,1.46581,2.7388,1.62543,0.00269,0.8,0.40878,0.22466,1.33102,3.8751,1.47767,0.000620917,0.000620917,0.000620917
4,22.4451,1.56784,2.58083,1.64126,0.47479,0.24393,0.33935,0.19846,1.43165,3.78604,1.54943,0.00082492,0.00082492,0.00082492
5,27.566,1.50648,2.68503,1.63083,0.00268,0.76667,0.31071,0.12704,1.52374,3.87371,1.67321,0.00102463,0.00102463,0.00102463
6,32.7259,1.51665,2.57641,1.64998,0.32778,0.46667,0.38287,0.17439,1.68614,3.63627,1.85572,0.00122005,0.00122005,0.00122005
7,38.176,1.46486,2.47135,1.57631,0.46753,0.45592,0.44705,0.22479,1.75061,3.5844,1.87271,0.00141118,0.00141118,0.00141118
8,43.6762,1.50125,2.51759,1.55996,0.35863,0.46667,0.3514,0.15273,1.62465,4.18205,1.78146,0.00155148,0.00155148,0.00155148
9,49.3137,1.48101,2.32869,1.55462,0.29361,0.36667,0.27876,0.15342,2.16441,19.8372,2.47237,0.00153497,0.00153497,0.00153497
10,54.8373,1.50571,2.55135,1.61949,0.20361,0.31667,0.19846,0.10758,2.3457,29.0116,3.00169,0.00151847,0.00151847,0.00151847
11,60.4125,1.4273,2.34773,1.55648,0.05635,0.43333,0.05807,0.01385,2.37629,18.0326,2.62659,0.00150197,0.00150197,0.00150197
12,65.8298,1.45394,2.243,1.53699,0.69621,0.15,0.15754,0.05866,2.40117,4.67269,2.8363,0.00148546,0.00148546,0.00148546
13,71.3871,1.43771,2.26916,1.52769,0.26095,0.38333,0.31229,0.1352,2.20601,3.3953,2.39558,0.00146896,0.00146896,0.00146896
14,77.4428,1.4887,2.1895,1.55024,0.42489,0.46667,0.34715,0.13855,2.24689,3.79918,2.3453,0.00145246,0.00145246,0.00145246
15,83.8536,1.46514,2.13451,1.52557,0.42307,0.31641,0.25617,0.0969,2.19385,4.35272,2.1148,0.00143595,0.00143595,0.00143595
16,90.1128,1.38968,2.12405,1.46081,0.56407,0.2975,0.27344,0.09355,2.15058,4.14547,2.25678,0.00141945,0.00141945,0.00141945
17,96.3755,1.34567,2.05842,1.44701,0.37128,0.41667,0.34168,0.17503,1.93076,3.46041,1.9515,0.00140295,0.00140295,0.00140295
18,102.497,1.32532,1.93998,1.43295,0.59704,0.41667,0.42633,0.1886,1.92361,3.16756,1.86004,0.00138644,0.00138644,0.00138644
19,108.775,1.32844,1.99697,1.44186,0.82931,0.33333,0.44072,0.16331,2.06319,2.93874,2.03562,0.00136994,0.00136994,0.00136994
20,115.077,1.33858,1.93762,1.41977,0.76524,0.39333,0.54868,0.26308,1.92026,3.0692,2.02176,0.00135344,0.00135344,0.00135344
21,121.555,1.26889,1.87354,1.36327,0.71268,0.58333,0.64832,0.30724,1.94812,3.32194,2.13709,0.00133693,0.00133693,0.00133693
22,127.624,1.27618,1.75577,1.40281,0.64819,0.58102,0.67515,0.32164,1.9991,3.11509,2.26774,0.00132043,0.00132043,0.00132043
23,134.153,1.29124,1.67597,1.39891,0.76809,0.56894,0.70478,0.31239,2.1599,3.00694,2.37434,0.00130393,0.00130393,0.00130393
24,140.386,1.31723,1.75235,1.46334,0.68118,0.53333,0.61998,0.25771,2.17335,3.00782,2.39083,0.00128742,0.00128742,0.00128742
25,146.535,1.32552,1.79929,1.43423,0.80677,0.63194,0.72687,0.40227,1.94506,2.56438,2.17301,0.00127092,0.00127092,0.00127092
26,152.46,1.26348,1.71064,1.39336,0.80765,0.61261,0.76764,0.36134,1.92585,2.40258,2.09044,0.00125442,0.00125442,0.00125442
27,158.491,1.32896,1.9297,1.46658,0.52971,0.85,0.7163,0.24996,1.9568,2.75972,2.01301,0.00123791,0.00123791,0.00123791
28,164.815,1.23419,1.71686,1.37424,0.77993,0.41139,0.56042,0.15366,2.29066,2.8905,2.51521,0.00122141,0.00122141,0.00122141
29,171.923,1.2197,1.58368,1.31923,0.65842,0.68333,0.65483,0.21307,2.13712,2.67968,2.34688,0.00120491,0.00120491,0.00120491
30,179.545,1.2864,1.61853,1.38334,0.63296,0.68333,0.56714,0.20079,2.04357,2.51447,2.2315,0.0011884,0.0011884,0.0011884
31,186.261,1.22841,1.54443,1.30208,0.9557,0.42167,0.61537,0.23149,2.18977,2.49305,2.1949,0.0011719,0.0011719,0.0011719
32,193.781,1.21874,1.60623,1.33204,0.97168,0.41029,0.56016,0.20285,2.15843,2.50613,2.16398,0.0011554,0.0011554,0.0011554
33,201.121,1.1422,1.58153,1.2833,0.68825,0.46667,0.54463,0.25264,1.9644,2.45949,1.9713,0.00113889,0.00113889,0.00113889
34,208.414,1.13342,1.49203,1.27221,0.56327,0.70949,0.62791,0.30757,1.99241,2.22033,1.99548,0.00112239,0.00112239,0.00112239
35,215.746,1.13366,1.38767,1.30552,0.9367,0.5,0.60486,0.30723,1.89788,2.28404,1.91053,0.00110589,0.00110589,0.00110589
36,222.906,1.09668,1.49937,1.29867,0.81864,0.6,0.6896,0.28947,2.10377,2.39574,2.06739,0.00108938,0.00108938,0.00108938
37,230.235,1.11845,1.42909,1.29765,0.85096,0.72559,0.76114,0.28815,2.09631,2.24137,2.04708,0.00107288,0.00107288,0.00107288
38,237.011,1.01287,1.32734,1.24901,0.90639,0.81667,0.80798,0.4037,1.86815,1.93216,1.90007,0.00105638,0.00105638,0.00105638
39,243.441,1.07798,1.33755,1.26652,0.96875,0.58303,0.72632,0.41228,1.77776,1.87034,1.89131,0.00103987,0.00103987,0.00103987
40,250.115,0.9724,1.22739,1.19203,0.87271,0.76308,0.75494,0.37903,1.78017,1.78404,1.99294,0.00102337,0.00102337,0.00102337
41,257.068,1.05629,1.28392,1.23691,0.77659,0.85,0.7954,0.34506,1.794,1.89349,1.98367,0.00100687,0.00100687,0.00100687
42,263.555,1.05865,1.34246,1.2515,0.71751,0.85,0.79615,0.32575,1.90104,1.87712,2.02971,0.000990365,0.000990365,0.000990365
43,270.493,0.9972,1.20462,1.16752,0.76996,0.7863,0.78946,0.31889,1.91971,1.88313,1.94616,0.000973861,0.000973861,0.000973861
44,277.434,1.0853,1.25472,1.25603,0.8658,0.82682,0.85833,0.42389,1.71484,1.87984,1.81969,0.000957358,0.000957358,0.000957358
45,284.581,1.0209,1.18386,1.17748,0.73922,0.71557,0.77139,0.36824,1.80456,1.87192,1.89087,0.000940855,0.000940855,0.000940855
46,291.352,1.01769,1.17005,1.16535,0.68198,0.65066,0.66328,0.31835,1.89868,2.01001,2.10424,0.000924352,0.000924352,0.000924352
47,298.06,1.01928,1.20914,1.20281,0.85186,0.7754,0.81574,0.34247,1.81518,2.0449,2.04763,0.000907848,0.000907848,0.000907848
48,304.33,0.94909,1.15597,1.15469,0.72269,0.74086,0.76603,0.35776,1.78619,2.09538,1.99665,0.000891345,0.000891345,0.000891345
49,311.107,0.98416,1.12181,1.19642,0.91818,0.79924,0.87286,0.42801,1.67401,1.83554,1.92405,0.000874842,0.000874842,0.000874842
50,317.978,0.97482,1.10114,1.19221,0.93201,0.80976,0.89633,0.45645,1.63692,1.73267,1.86267,0.000858338,0.000858338,0.000858338
51,324.064,0.98494,1.08883,1.18352,0.93122,0.81297,0.9048,0.51396,1.59302,1.51589,1.91008,0.000841835,0.000841835,0.000841835
52,331.336,0.93181,1.07509,1.1794,0.89755,0.9,0.89361,0.50107,1.74896,1.44295,1.9877,0.000825332,0.000825332,0.000825332
53,338.305,0.87604,1.02699,1.10265,0.92959,0.85,0.88536,0.51517,1.83366,1.39737,2.09454,0.000808828,0.000808828,0.000808828
54,346.252,1.00879,1.08501,1.21086,0.89695,0.89373,0.865,0.49563,1.89868,1.47217,2.11642,0.000792325,0.000792325,0.000792325
55,353.45,0.96903,1.06174,1.17892,0.92968,0.81667,0.91591,0.42576,1.93385,1.64588,2.15207,0.000775822,0.000775822,0.000775822
56,360.369,0.93386,1.07873,1.14927,0.92988,0.76349,0.82403,0.41961,1.94371,1.60417,2.20861,0.000759318,0.000759318,0.000759318
57,367.757,0.89559,1.0755,1.16995,0.98992,0.81147,0.85354,0.43834,1.79741,1.58439,2.06791,0.000742815,0.000742815,0.000742815
58,375.343,0.9051,1.01974,1.13999,0.98967,0.80236,0.86162,0.43774,1.74105,1.59657,1.94144,0.000726312,0.000726312,0.000726312
59,382.948,0.84495,0.98189,1.12343,0.81878,0.67136,0.70632,0.32824,1.79346,1.96551,1.97531,0.000709809,0.000709809,0.000709809
60,390.275,0.83809,0.99874,1.15023,1,0.61035,0.71817,0.35365,1.8677,2.1208,1.95053,0.000693305,0.000693305,0.000693305
61,397.842,0.869,1.00828,1.13268,0.95637,0.58249,0.74657,0.39488,1.79712,2.05456,1.93311,0.000676802,0.000676802,0.000676802
62,404.965,0.8278,0.92946,1.10454,0.6521,0.67765,0.75598,0.40983,1.64611,1.88244,1.86883,0.000660299,0.000660299,0.000660299
63,412.432,0.80297,0.91494,1.08053,0.90562,0.57805,0.69979,0.34722,1.68527,2.23071,1.87914,0.000643795,0.000643795,0.000643795
64,421.745,0.78679,0.87609,1.05517,0.83958,0.57386,0.7145,0.34761,1.67712,2.19525,1.84987,0.000627292,0.000627292,0.000627292
65,429.667,0.80243,0.93918,1.059,0.90582,0.65619,0.71706,0.4249,1.76406,1.85053,1.95234,0.000610789,0.000610789,0.000610789
66,438.034,0.84901,0.95536,1.11959,0.90289,0.65927,0.72535,0.45634,1.7624,1.73798,1.95494,0.000594286,0.000594286,0.000594286
67,445.98,0.76569,0.81197,1.04522,0.90552,0.7209,0.80439,0.45701,1.6613,1.67062,1.8329,0.000577782,0.000577782,0.000577782
68,454.576,0.76212,0.83952,1.07999,0.83482,0.75,0.81125,0.50031,1.59427,1.59144,1.87099,0.000561279,0.000561279,0.000561279
